file	source	article_id	genre	topic	category	url	n_sentences	n_chars
rts-5617257.txt	rts	5617257	kolumna	pol-drustvo	Smatracnica	https://www.rts.rs/vesti/smatracnica/5617257/-u-novu-godinu-sa-staromodnim-rokovnikom-za-brojeve-telefona.html	8	3907
rts-5645158.txt	rts	5645158	kolumna	pol-drustvo	Smatracnica	https://www.rts.rs/vesti/smatracnica/5645158/zoran-stanojevic-u-medijima-u-kojima-politicari-biraju-novinare-ja-nemam-sta-da-trazim.html	8	3985
rts-5863565.txt	rts	5863565	kolumna	pol-drustvo	Smatracnica	https://www.rts.rs/vesti/smatracnica/5863565/zima-sneg-.html	8	4560
rts-5888434.txt	rts	5888434	kolumna	svet	Smatracnica	https://www.rts.rs/vesti/smatracnica/5888434/rat-u-ukrajini-izbeglice.html	8	5145
rts-5893107.txt	rts	5893107	kolumna	hronika	Smatracnica	https://www.rts.rs/vesti/smatracnica/5893107/staracki-domovi-barajevo-poskupljenje.html	8	4210
rts-5918793.txt	rts	5918793	kolumna	sport	Smatracnica	https://www.rts.rs/vesti/smatracnica/5918793/vreme-je-da-se-sa-tribina-zapeva-zoanu-penjaroji.html	8	4153
rts-5922605.txt	rts	5922605	kolumna	ekonomija	Smatracnica	https://www.rts.rs/vesti/smatracnica/5922605/dusko-vujosevic-kk-partizan-2026.html	5	1941
rts-5996881.txt	rts	5996881	vest	kultura	Kultura	https://www.rts.rs/magazin/kultura/preporuka/5996881/partenopa-paolo-sorentino-knjiga-film.html	8	6309
rts-6006306.txt	rts	6006306	vest	kultura	Kultura	https://www.rts.rs/magazin/kultura/rokovnik/6006306/rokovnik-30-jul---5-avgust-odrzan-je-humanitarni-koncert-za-banglades.html	8	31412
rts-6011305.txt	rts	6011305	vest	kultura	Kultura	https://www.rts.rs/magazin/kultura/nesto-drugo/6011305/in-memoriam-nikola-bertolino.html	8	2840
rts-6027067.txt	rts	6027067	vest	sport	Sport	https://www.rts.rs/sport/vaterpolo/6027067/vaterpolo-reprezentacija-srbije-vladimir-vujasinovic-vasilije-martinovic-mediteranske-igre.html	8	3462
rts-6027577.txt	rts	6027577	vest	hronika	Hronika	https://www.rts.rs/vesti/hronika/6027577/pozari-sumski-na-otvorenom-deliblatska-pescara-stolovi.html	8	5683
rts-6028727.txt	rts	6028727	vest	ekonomija	Ekonomija	https://www.rts.rs/vesti/ekonomija/6028727/novi-rok-za-nis-do-kraja-septembra--da-li-je-konacno-resenje-na-vidiku.html	8	7405
rts-6030572.txt	rts	6030572	vest	sport	Sport	https://www.rts.rs/sport/auto-moto/F1vesti/6030572/monca-ferari-sumaher-specijalni-dizajn-bolid-formula-1-2026-monca.html	8	3004
rts-6030871.txt	rts	6030871	vest	ekonomija	Ekonomija	https://www.rts.rs/vesti/ekonomija/6030871/nova-trka-za-afrikom-i-sansa-za-srbiju--pokret-nesvrstanih-put-ka-novim-trzistima.html	8	7610
rts-6032089.txt	rts	6032089	vest	svet	Svet	https://www.rts.rs/vesti/svet/6032089/nemacka-istrazuje-mogucu-koordinisanu-sabotazu-elektromreze.html	8	2497
rts-6032680.txt	rts	6032680	vest	pol-drustvo	Politika	https://www.rts.rs/vesti/politika/6032680/macut-obisao-radove-na-ekspu-2027-i-razgovarao-sa-logarom-o-saradnji-srbije-i-slovenije.html	8	1719
rts-6032694.txt	rts	6032694	vest	pol-drustvo	Politika	https://www.rts.rs/vesti/politika/6032694/eu-se-sprema-za-novo-prosirenje--sta-to-znaci-za-srbiju-crnu-goru-i-ukrajinu.html	8	4227
rts-6033299.txt	rts	6033299	vest	pol-drustvo	Politika	https://www.rts.rs/vesti/politika/6033299/aleksandar-vucic-zapadnobacki-okrug-branko-babic.html	8	24326
rts-6034951.txt	rts	6034951	vest	pol-drustvo	Politika	https://www.rts.rs/vesti/politika/6034951/ivica-dacic-srbija-bosna-hercegovina.html	8	1197
rts-6035021.txt	rts	6035021	vest	pol-drustvo	Politika	https://www.rts.rs/vesti/politika/6035021/svecani-docek-predsednik-uzekistan.html	8	27217
rts-6035082.txt	rts	6035082	vest	pol-drustvo	Politika	https://www.rts.rs/vesti/politika/6035082/ursula-fon-der-lajen-ratko-mladic-sahrana-sokantne-slike.html	8	861
rts-6035594.txt	rts	6035594	vest	pol-drustvo	Politika	https://www.rts.rs/vesti/politika/6035594/predsednik-vucic-za-rts-izbori-ce-biti-25-oktobra-zelim-svima-demokratsku-utakmicu-.html	8	8392
rts-6035638.txt	rts	6035638	vest	pol-drustvo	Politika	https://www.rts.rs/vesti/politika/6035638/izbori-izmedju-dve-kule--ide-li-srbija-ka-referendumskoj-atmosferi.html	8	15775
rts-6035767.txt	rts	6035767	vest	hronika	Hronika	https://www.rts.rs/vesti/hronika/6035767/aktivna-44-pozara-na-otvorenom--iljusin-i-helikopteri-mup-a-i-danas-iznad-suve-planine-voda-stize-u-rancevima-i-na-konjima.html	8	4978
rts-6036162.txt	rts	6036162	vest	pol-drustvo	Politika	https://www.rts.rs/vesti/politika/6036162/pups-i-radnicka-partija-ce-na-izborima-ucestvovati-na-listi-aleksandar-vucic---ujedinjena-srbija.html	8	1502
rts-6036242.txt	rts	6036242	vest	sport	Sport	https://www.rts.rs/sport/tenis/6036242/ju-es-open-selton-alkaraz-2026.html	8	2327
rts-6037115.txt	rts	6037115	vest	svet	Svet	https://www.rts.rs/vesti/svet/6037115/tramp-donald-amerika-dalas-konvencija.html	8	5906
rts-6037180.txt	rts	6037180	vest	pol-drustvo	Politika	https://www.rts.rs/vesti/politika/6037180/aleksandar-vucic-beltalks-stopa-rasta-srbija.html	8	5100
rts-6037294.txt	rts	6037294	vest	pol-drustvo	Politika	https://www.rts.rs/vesti/politika/6037294/poziv-iz-sarajeva-na-ukidanje-rs-i-suspenziju-specijalnih-veza-sa-srbijom-ostre-reakcije-beograda-i-banjaluke.html	8	3639
vre-4912915.txt	vreme	4912915	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/cast-srbije-se-brani-u-kosjericu-i-zajecaru/	8	2670
vre-4915192.txt	vreme	4915192	vest	kultura	kultura	https://vreme.com/kultura/osterov-odgovor-na-pitanje-zasto-se-ubijamo/	8	3971
vre-4916591.txt	vreme	4916591	vest	kultura	kultura	https://vreme.com/kultura/fotografije-nevidljivog-sveta-za-one-koji-ih-ne-vide/	8	4582
vre-4918461.txt	vreme	4918461	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/vidovdan-dan-posle-studenti-hvala-i-nema-nazad/	8	3853
vre-4918487.txt	vreme	4918487	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/nasilje-je-pocelo-u-2142-pre-trinaest-godina/	8	3523
vre-4922015.txt	vreme	4922015	kolumna	kultura	mozaik	https://vreme.com/mozaik/od-solila-do-bjelila/	8	9986
vre-4922837.txt	vreme	4922837	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/nebulozni-govor-vlasti/	8	4469
vre-4927972.txt	vreme	4927972	kolumna	pol-drustvo	mozaik	https://vreme.com/mozaik/ivan-ivanovic-za-vreme-radio-sam-sta-hocu-godinu-dana/	8	6339
vre-4928805.txt	vreme	4928805	kolumna	kultura	kultura	https://vreme.com/kultura/zasto-na-festivalu-u-vrnjackoj-banji-dominiraju-filmovi-zeljka-mitrovica/	8	3412
vre-4929355.txt	vreme	4929355	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/hoce-li-vucic-pomilovati-dodika/	8	2841
vre-4929804.txt	vreme	4929804	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/patriote-cetke-u-ruke/	8	5940
vre-4930037.txt	vreme	4930037	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/hleba-i-igara-to-jest-marzi-i-trobojki/	8	2983
vre-4931176.txt	vreme	4931176	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/mup-srbije-d-o-o-privatno-obezbedjenje-za-batinase/	8	2824
vre-4932680.txt	vreme	4932680	kolumna	kultura	kultura	https://vreme.com/kultura/previse-pametni-da-bi-bili-zvezde/	8	10526
vre-4933484.txt	vreme	4933484	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/kamo-dalje-vucicu/	8	4981
vre-4934233.txt	vreme	4934233	kolumna	kultura	kultura	https://vreme.com/kultura/preziveti-pesmu/	8	9914
vre-4934520.txt	vreme	4934520	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/covek-zvani-afera/	8	2681
vre-4934883.txt	vreme	4934883	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/bice-izbora-bice-kradje-ali-od-vucica-nista-ne-zavisi/	8	4580
vre-4936342.txt	vreme	4936342	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/satanski-smeh-aleksandra-vucica/	8	1707
vre-4937332.txt	vreme	4937332	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/samo-srbina-njegov-navijac-bije/	8	3770
vre-4937484.txt	vreme	4937484	kolumna	pol-drustvo	mozaik	https://vreme.com/mozaik/zasjace-palaci-a-mozda-vise-i-nece/	8	5235
vre-4937773.txt	vreme	4937773	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/vojna-parada-paradero-i-balansero/	8	2790
vre-4939623.txt	vreme	4939623	kolumna	kultura	kultura	https://vreme.com/kultura/od-ministarstva-kulture-samo-za-aju-jung-i-folklor/	8	7791
vre-4946062.txt	vreme	4946062	kolumna	kultura	kultura	https://vreme.com/kultura/humor-kao-zastita-od-stetne-okoline/	8	11314
vre-4948477.txt	vreme	4948477	kolumna	kultura	kultura	https://vreme.com/kultura/kako-je-otvoren-sajam-knjiga-a-kako-alternativni-sajam/	8	4842
vre-4950725.txt	vreme	4950725	kolumna	kultura	kultura	https://vreme.com/kultura/bokanov-upravni-odbor-nema-legitimitet/	8	3155
vre-4952328.txt	vreme	4952328	vest	kultura	kultura	https://vreme.com/kultura/lex-specialis-je-izglasan-iako-postoji-studija-o-sanaciji-generalstaba/	8	4304
vre-4956785.txt	vreme	4956785	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/na-odru-republike-srbije/	8	2896
vre-4957979.txt	vreme	4957979	vest	svet	svet	https://vreme.com/svet/sta-rade-mocnici-dok-svet-ide-dodjavola/	8	13079
vre-4965461.txt	vreme	4965461	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/hola-maduro-adios-amigo/	8	2438
vre-4965741.txt	vreme	4965741	kolumna	kultura	kultura	https://vreme.com/kultura/niceg-ne-bi-bilo-da-neko-nije-otrovao-macke/	8	4166
vre-4966200.txt	vreme	4966200	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/proklizavanje-po-ledu/	8	2879
vre-4967138.txt	vreme	4967138	kolumna	svet	mozaik	https://vreme.com/mozaik/svetski-bol-pojedinca/	8	10951
vre-4969017.txt	vreme	4969017	vest	svet	mozaik	https://vreme.com/mozaik/penjanje-uzivo-ludilo-od-hepeninga-na-netfliksu/	8	3616
vre-4970392.txt	vreme	4970392	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/pravda-za-sirotinju-srbije/	8	2869
vre-4971487.txt	vreme	4971487	vest	kultura	kultura	https://vreme.com/kultura/zrenjanin-neupotrebljivi-i-izgoreli-domovi-kulture-prestonice-kulture/	8	4297
vre-4972996.txt	vreme	4972996	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/manja-grcic-rts-aleksandar-vucic-dragan-bujosevic-rezim/	8	2455
vre-4973237.txt	vreme	4973237	kolumna	svet	mozaik	https://vreme.com/mozaik/tajvan-zapad-sa-kapljicom-kine/	8	10115
vre-4973520.txt	vreme	4973520	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/loncar-obustavljene-hladne-operacije-u-istragu-o-dve-smrti-ukljuceno-i-tuzilastvo/	8	3173
vre-4973530.txt	vreme	4973530	kolumna	kultura	kultura	https://vreme.com/kultura/bitef-pozoriste-odbor-bitefa-festival/	8	4764
vre-4974866.txt	vreme	4974866	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/mobilni-telefoni-preci-od-igre-sve-vise-dece-gojazno/	8	3896
vre-4975127.txt	vreme	4975127	vest	svet	svet	https://vreme.com/svet/istorijska-odluka-vrhovni-sud-ukinuo-trampove-carine/	8	2740
vre-4977044.txt	vreme	4977044	kolumna	kultura	kultura	https://vreme.com/kultura/lista-7-najugrozenijih-je-nada-za-vajfertovu-pivaru-u-pancevu/	8	5609
vre-4977512.txt	vreme	4977512	kolumna	kultura	kultura	https://vreme.com/kultura/ko-je-korisnik-parcele-na-kojoj-ce-biti-rekonstruisana-zgrada-narodne-biblioteke/	8	4774
vre-4978189.txt	vreme	4978189	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/poljoprivrednici-dragan-glamocic-poljoprivreda/	4	2370
vre-4978208.txt	vreme	4978208	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/rat-i-putovanja-osiguranje/	8	5935
vre-4981395.txt	vreme	4981395	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/bia-veran-matic-prisluskivanje-pracenje-pretnje/	8	5693
vre-4982089.txt	vreme	4982089	vest	kultura	kultura	https://vreme.com/kultura/bitef-bez-selektora-predstave-biraju-spasoje-z-milovanovic-i-clanovi-odbora/	8	5046
vre-4982828.txt	vreme	4982828	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/gorivo-dizel-benzin-gas-srbija/	8	5002
vre-4983057.txt	vreme	4983057	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/danka-ilic-optuznica/	6	2352
vre-4983491.txt	vreme	4983491	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/lokalni-izbori-2026-komentar/	8	2535
vre-4984755.txt	vreme	4984755	kolumna	kultura	kultura	https://vreme.com/kultura/zasto-je-matica-srpska-otkazala-koncert-katarine-jovanovic/	8	4275
vre-4991499.txt	vreme	4991499	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/odbrana-struke-vst-venecijanska-komisija-tuzilastvo/	8	3769
vre-4994180.txt	vreme	4994180	vest	kultura	kultura	https://vreme.com/kultura/vec-cetvrta-operska-premijera-narodnog-pozorista-ove-sezone/	8	3350
vre-4994908.txt	vreme	4994908	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/srbija-ekoloski-dug/	8	4910
vre-4998006.txt	vreme	4998006	kolumna	pol-drustvo	mozaik	https://vreme.com/mozaik/zombiji-na-trotoaru-dokle-ce-po-srbiji-stajati-halo-govornice/	8	4762
vre-4998388.txt	vreme	4998388	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/ubiti-za-fotografiju-barbara-matejcic-dobitnica-specijalne-nagrade-evropske-nagrade-za-stampu/	8	5586
vre-4999384.txt	vreme	4999384	kolumna	sport	mozaik	https://vreme.com/mozaik/svetsko-prvenstvo-2026-fudbal-favoriti-titula-svetskog-prvaka/	8	9288
vre-4999756.txt	vreme	4999756	kolumna	pol-drustvo	komentar	https://vreme.com/komentar/vucicev-sibicarski-autoportret/	8	2852
vre-5000401.txt	vreme	5000401	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/majke-deca-invaliditet-smetnje-u-razvoju-becej/	8	4387
vre-5000424.txt	vreme	5000424	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/zidjin-majdanpek-rudarenje-rudarstvo/	8	5505
vre-5002583.txt	vreme	5002583	vest	pol-drustvo	drustvo	https://vreme.com/drustvo/mediji-srbija-medijske-slobode-novinari/	8	5713
vre-5002936.txt	vreme	5002936	kolumna	kultura	kultura	https://vreme.com/kultura/brevijar-politicke-mudrosti/	8	11467
