config	model	scheme	fold	macro_f1	f1_obj	f1_subj	accuracy	n_test	best_param	n_features
w13-tf-lower-stem	logreg	plain	7	0.6556	0.7282	0.583	0.6709	313	10	11204
w13-tf-lower-stem	logreg	plain	8	0.6812	0.7313	0.6312	0.6891	312	10	11257
w13-tf-lower-stem	logreg	plain	9	0.693	0.754	0.632	0.7051	312	10	11246
w13-tf-lower-stem	logreg	grouped	0	0.6896	0.7552	0.624	0.7035	317	10	11382
w13-tf-lower-stem	logreg	grouped	1	0.671	0.7238	0.6183	0.6795	312	10	11197
w13-tf-lower-stem	logreg	grouped	2	0.6464	0.7081	0.5846	0.6571	315	10	11250
w13-tf-lower-stem	logreg	grouped	3	0.6228	0.6966	0.549	0.6372	317	10	11383
w13-tf-lower-stem	logreg	grouped	4	0.6759	0.7038	0.6481	0.6783	314	10	11323
w13-tf-lower-stem	logreg	grouped	5	0.7204	0.7742	0.6667	0.7308	312	100	11338
w13-tf-lower-stem	logreg	grouped	6	0.6696	0.7519	0.5872	0.6901	313	10	11418
w13-tf-lower-stem	logreg	grouped	7	0.7477	0.7877	0.7077	0.754	309	10	11479
w13-tf-lower-stem	logreg	grouped	8	0.6894	0.7527	0.626	0.7023	309	10	11356
w13-tf-lower-stem	logreg	grouped	9	0.7109	0.7603	0.6615	0.7194	310	10	11260
w13-tf-lower-stem	nb	plain	0	0.7616	0.7967	0.7266	0.7668	313	0.1	11328
w13-tf-lower-stem	nb	plain	1	0.741	0.7914	0.6905	0.7508	313	0.1	11191
w13-tf-lower-stem	nb	plain	2	0.753	0.7956	0.7104	0.7604	313	0.1	11321
w13-tf-lower-stem	nb	plain	3	0.7124	0.7556	0.6692	0.7188	313	0.1	11314
w13-tf-lower-stem	nb	plain	4	0.7217	0.7742	0.6693	0.7316	313	0.1	11289
w13-tf-lower-stem	nb	plain	5	0.7249	0.768	0.6818	0.7316	313	0.1	11167
w13-tf-lower-stem	nb	plain	6	0.7579	0.8043	0.7115	0.7668	313	0.1	11252
w13-tf-lower-stem	nb	plain	7	0.7626	0.8043	0.7209	0.77	313	0.1	11204
w13-tf-lower-stem	nb	plain	8	0.6777	0.7179	0.6374	0.6827	312	0.1	11257
w13-tf-lower-stem	nb	plain	9	0.7413	0.7968	0.6857	0.7532	312	0.1	11246
